METHOD = DISCRETIZE

	Running discretize based tests on Mersenne 

	01. Monobit Test                            PASS!	p=0.61050	0.84506	0.30124	0.32812	0.20865	0.14642	0.06936	0.21912	0.02742	0.09952	0.37147	0.95545	0.67514	0.17971	0.57615	0.91098	0.26355	0.11752	0.03861	0.30124	0.75859	0.63480	0.20865	0.13866	0.55738	0.41779	0.31468	0.57645	0.69579	0.24079	0.91105	0.84494	0.75877	0.46809	0.86702	0.53924	0.86702	0.09379	0.01019	0.03379	0.00571	0.00526	0.21948	0.12466	0.22995	0.50267	0.35652	0.32812	0.84494	0.65472	0.46740	0.59552	0.25199	0.84494	0.65497	0.91105	0.59552	0.17098	0.67538	0.40247	0.65548	0.97776	0.84530	0.52112	0.82333	0.18005	0.57645	0.73771	0.78019	0.88898	0.97773	0.50267	0.30124	0.22959	0.59552	0.75877	0.40247	0.16291	0.63533	0.23032	0.25236	0.50267	0.88890	0.82320	0.82333	0.46844	0.26467	
	02. Block Frequency Test                    PASS!	p=0.00555	0.74337	0.66914	0.61210	0.60387	0.56683	0.43470	0.59976	0.54221	0.76921	0.66511	0.94292	0.93591	0.98686	0.84294	0.74712	0.63669	0.30124	0.31725	0.50160	0.55861	0.64077	0.75826	0.38617	0.33377	0.27076	0.39346	0.14062	0.30440	0.45793	0.52589	0.60387	0.94292	0.70493	0.52996	0.45793	0.43470	0.07190	0.10940	0.12838	0.14429	0.19435	0.79400	0.63260	0.63260	0.80427	0.69310	0.77997	0.93408	0.97038	0.98625	0.98063	0.89779	0.19203	0.13526	0.04604	0.02878	0.07295	0.41949	0.53813	0.64077	0.92838	0.94121	0.96341	0.95245	0.90256	0.72435	0.26492	0.18974	0.46577	0.29809	0.57917	0.97900	0.96464	0.92238	0.93221	0.90720	0.74337	0.73960	0.76921	0.55041	0.47366	0.47762	0.83365	0.85783	0.90720	0.71274	
	03. Independent Runs Test                   PASS!	p=0.32837	0.67615	0.78123	0.86773	0.68335	0.46514	0.25897	0.40928	0.21897	0.04482	0.21058	0.77995	0.67869	0.82718	0.10679	0.11760	0.35952	0.36349	0.54240	0.50337	0.32940	0.59983	0.10821	0.38856	0.28000	0.91859	0.88909	0.70218	0.47031	0.98608	0.95518	0.80228	0.89106	0.72655	0.50249	0.66275	0.61598	0.18653	0.07511	0.00372	0.18347	0.14265	0.98903	0.66752	0.28264	0.81338	0.40396	0.61562	0.80063	0.61090	0.81152	0.51528	0.68894	0.71563	0.53518	0.34214	0.66933	0.67727	0.92935	0.80804	0.95110	0.80193	0.93420	0.72538	0.31571	0.11598	0.16511	0.26560	0.31608	0.17148	0.27625	0.13462	0.19901	0.18344	0.27924	0.59760	0.88237	0.90981	0.63080	0.46028	0.12907	0.15869	0.45029	0.31399	0.34197	0.58694	0.45517	
	04. Longest Runs Test                       PASS!	p=0.06496	0.53044	0.58893	0.94597	0.60524	0.55832	0.47504	0.89623	0.46387	0.87820	0.94090	0.91546	0.79590	0.58116	0.51983	0.37899	0.35283	0.55376	0.18753	0.45155	0.36713	0.13958	0.42111	0.21744	0.71065	0.49896	0.73548	0.78493	0.83087	0.21763	0.51336	0.83196	0.91635	0.88136	0.59143	0.77156	0.74652	0.19979	0.06945	0.38890	0.12745	0.16831	0.75805	0.24691	0.06992	0.09621	0.49008	0.56848	0.89009	0.14831	0.20457	0.31849	0.06590	0.28980	0.32757	0.22457	0.21819	0.04157	0.30408	0.26854	0.29202	0.81631	0.99277	0.70746	0.59887	0.93779	0.95994	0.50400	0.48553	0.71824	0.36191	0.55506	0.28721	0.35171	0.31604	0.25609	0.59370	0.58723	0.55707	0.49444	0.26639	0.84846	0.96684	0.85771	0.75534	0.40229	0.31863	
	05. Matrix Rank Test                        PASS!	p=0.31067	0.83302	0.23306	0.21023	0.23025	0.84471	0.30217	0.74280	0.81668	0.50508	0.55389	0.42261	0.47246	0.46583	0.76394	0.96060	0.30046	0.50508	0.71815	0.85390	0.74280	0.68522	0.18298	0.10242	0.58921	0.85390	0.77367	0.30046	0.03199	0.16901	0.04878	0.23306	0.59748	0.14459	0.28778	0.43799	0.47246	0.15034	0.89053	0.58921	0.58921	0.91991	0.67945	0.19705	0.28778	0.67945	0.55389	0.12458	0.10227	0.40241	0.04523	0.08471	0.50508	0.48627	0.68522	0.25587	0.74280	0.96308	0.59748	0.17407	0.23637	0.21023	0.08508	0.40167	0.28778	0.01958	0.87371	0.30980	0.12997	0.44187	0.76394	0.24792	0.50508	0.11325	0.48059	0.36207	0.24792	0.89053	0.63558	0.48059	0.74280	0.62989	0.65486	0.21023	0.12109	0.01324	0.07732	
	06. Spectral Test                           PASS!	p=0.13986	0.24116	0.37294	0.70530	0.70530	0.98978	0.05369	0.61723	0.68658	0.50945	0.98978	0.78785	0.36611	0.79757	0.19968	0.04017	1.00000	0.60796	0.79757	0.09688	0.70530	0.37294	0.70530	0.52570	0.05530	0.09688	0.61723	0.00201	0.43439	0.59930	0.61723	0.70530	0.15321	0.11825	0.19152	0.59072	0.31791	0.31136	0.61723	0.78785	0.91330	0.45768	0.97957	0.35972	0.09209	0.78785	0.90307	0.70530	0.52570	0.44161	0.44161	0.25123	0.70530	0.52570	0.80763	0.12100	0.52570	0.51738	0.35972	0.81771	0.63592	0.49381	0.66832	0.54320	0.97957	0.43439	0.59930	0.31791	0.97957	0.38023	0.53442	0.04160	0.89292	0.37294	0.00326	0.71505	0.62656	0.04306	0.16883	0.38760	0.24116	0.07078	0.70530	0.20456	0.77817	0.42020	0.18755	
	07. Non Overlapping Patterns Test           PASS!	p=0.00000	0.14826	0.58077	0.31512	0.12146	0.04537	0.31512	0.00445	0.34235	0.28946	0.10972	0.12146	0.31512	0.03623	0.31512	0.26536	0.86946	0.80696	0.50886	0.83933	0.86946	0.54442	0.89694	0.89694	0.92140	0.54442	0.89694	0.83933	0.54442	0.50886	0.86946	0.86946	0.89694	0.58077	0.58077	0.34235	0.01560	0.14826	0.05070	0.34235	0.58077	0.86946	0.83933	0.50886	0.50886	0.86946	0.50886	0.92140	0.28946	0.26536	0.58077	0.31512	0.31512	0.58077	0.04056	0.34235	0.61767	0.58077	0.28946	0.89694	0.50886	0.86946	0.86946	0.50886	0.86946	0.04537	0.13429	0.04056	0.65483	0.13429	0.89694	0.58077	0.58077	0.89694	0.89694	0.94255	0.61767	0.92140	0.94255	0.58077	0.83933	0.83933	0.80696	0.80696	0.80696	0.83933	0.80696	
	08. Overlapping Patterns Test               PASS!	p=0.00000	0.96289	0.96289	0.27045	0.27045	0.27045	0.27045	0.27045	0.95194	0.95194	0.95194	0.95194	0.96289	0.96289	0.96289	0.00552	0.00552	0.02778	0.00552	0.00552	0.96289	0.96289	0.96289	0.95194	0.02052	0.02052	0.02052	0.02052	0.02052	0.95194	0.95194	0.95194	0.95194	0.72702	0.72702	0.73050	0.73050	0.73050	0.00949	0.00949	0.00982	0.00982	0.00982	0.95194	0.95194	0.72702	0.72702	0.73050	0.73050	0.24010	0.02695	0.00018	0.00018	0.00018	0.02695	0.02695	0.24010	0.73050	0.73050	0.73050	0.72702	0.27045	0.27045	0.27045	0.27045	0.27045	0.95194	0.95194	0.95194	0.95194	0.95194	0.95194	0.95194	0.95194	0.95194	0.95194	0.72702	0.72702	0.73050	0.73050	0.73050	0.96289	0.96289	0.95194	0.95194	0.95194	0.95194	
	09. Universal Test                          SKIP!	p=SKIPPED	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	
	10. Linear Complexity Test                  PASS!	p=0.17011	0.75708	0.74382	0.50581	0.03076	0.05168	0.60920	0.83337	0.51830	0.83337	0.55656	0.37979	0.20522	0.08834	0.16257	0.23078	0.56957	0.60920	0.23803	0.40105	0.35932	0.23079	0.24544	0.55656	0.97683	0.85699	0.51830	0.30265	0.33964	0.41466	0.41466	0.85699	0.82115	0.85699	0.69006	0.23079	0.26881	0.95250	0.60920	0.67653	0.73047	0.79606	0.78322	0.73047	0.91960	0.71706	0.78322	0.83337	0.77022	0.21853	0.26277	0.32302	0.63929	0.57276	0.78322	0.63600	0.85699	0.77022	0.44584	0.60920	0.70358	0.15861	0.49649	0.00927	0.54367	0.17922	0.93706	0.84532	0.92857	0.70358	0.62257	0.96579	0.69006	0.50582	0.69006	0.69006	0.03850	0.43436	0.43436	0.56957	0.67653	0.75708	0.86835	0.87937	0.92857	0.95250	0.00702	
